frame,label,mean_Cy3,mean_GFP,mean_ratio_Cy3/GFP,mean_ratio_GFP/Cy3,std_Cy3,std_GFP,std_ratio_Cy3/GFP,std_ratio_GFP/Cy3,Y,X,log_mean_ratio_GFP/Cy3,DistanceLastNeighbor_k-00-05,neighbors_k-00-05,DistanceLastNeighbor_k-05-10,neighbors_k-05-10,DistanceLastNeighbor_k-10-15,neighbors_k-10-15,DistanceLastNeighbor_k-15-20,neighbors_k-15-20,DistanceLastNeighbor_k-20-25,neighbors_k-20-25,local_moran_log_mean_ratio_GFP/Cy3_k-00-05_p_val,local_moran_log_mean_ratio_GFP/Cy3_k-00-05_z_val,local_moran_log_mean_ratio_GFP/Cy3_k-00-05_stats,local_moran_log_mean_ratio_GFP/Cy3_k-00-05_low_quantile,local_moran_log_mean_ratio_GFP/Cy3_k-00-05_high_quantile
100,3443,308.623636364,553.9327272730001,0.558847694119,1.81427147205,33.0106069104,33.9535112901,0.0657516162353,0.214543239098,2.0,1331.5,0.5956839943272393,103.67376717376484,"[3492, 3446, 3496, 3541, 3510]",110.89747517414452,"[3370, 3541, 3330, 3421, 3510, 3489]",129.02809771518758,"[3489, 3552, 3593, 3460, 3554, 3517]",151.60474926597783,"[3517, 3592, 3266, 3603, 3308, 3561]",158.27349746562118,"[3561, 3358, 3351, 3284, 3597, 3246]",0.262,0.6609608076735372,0.06729311856847903,-0.21431637109696863,0.2008418561955974
100,3446,431.775,557.242647059,0.775947499866,1.37814601851,109.24399684,35.56669301210001,0.194898874901,0.368089761189,5.0,1394.0,0.3207391310633011,84.03868156985806,"[3510, 3460, 3443, 3517, 3541]",103.62070256469023,"[3517, 3541, 3492, 3554, 3330, 3351]",120.00937463381769,"[3351, 3561, 3387, 3308, 3496, 3603]",137.92751719653333,"[3603, 3593, 3597, 3331, 3413, 3535]",158.82852388661175,"[3535, 3494, 3609, 3421, 3371, 3552]",0.16,-1.0054533824178145,-0.05076129308192406,-0.09539419476424577,0.09157415496726055
100,3447,692.8691176469998,560.8573529409999,1.23609409344,0.918998614337,221.755235204,33.889204493899996,0.3945759188620001,0.365118504414,7.0,533.0,-0.08447066442192837,141.8352918000312,"[3495, 3456, 3543, 3581, 3504]",141.83529180003117,"[3338, 3543, 3368, 3581, 3301, 3504]",182.7785545407338,"[3504, 3415, 3242, 3252, 3300, 3237]",204.0,"[3237, 3380, 3631, 3714, 3690, 3223]",213.90710600632232,"[3223, 3273, 3178, 3551, 3470, 3651]",0.076,-1.4283038885415624,-0.4200930896094336,-0.5806188097792642,0.5339701693254792
100,3456,571.6120150190001,654.6958698369999,0.8556425335250001,1.2754202710299998,206.52355102299998,76.84987801,0.244027161867,0.386801605125,10.0,453.5,0.24327574863347753,131.69377358098598,"[3495, 3504, 3447, 3581, 3470]",126.75665662993799,"[3415, 3447, 3376, 3581, 3380, 3300]",147.75655653811103,"[3300, 3470, 3301, 3551, 3631, 3338]",171.16439466197403,"[3338, 3273, 3385, 3543, 3242, 3237]",202.09527456128208,"[3237, 3600, 3641, 3316, 3701, 3195]",0.2,-0.8456328544012407,-0.08285122601651151,-0.18968265480533986,0.1794253900777385
100,3460,272.387442573,557.771822358,0.489713662916,2.06135448392,23.100518646999998,32.2940405639,0.0475169935248,0.20125553059,15.0,1451.0,0.7233632831982653,77.04057372579724,"[3517, 3510, 3446, 3554, 3561]",101.20523701864443,"[3561, 3413, 3351, 3494, 3535, 3370]",117.50106382497137,"[3370, 3331, 3597, 3609, 3371, 3541]",135.8132909548988,"[3541, 3308, 3443, 3603, 3571, 3492]",167.58952831248138,"[3492, 3593, 3330, 3256, 3387, 3505]",0.188,0.8913642629536777,0.14523053680182263,-0.36575070935687126,0.3411453508463075
100,3470,290.47053231900003,733.755703422,0.402761203489,2.53347444726,25.84135731,108.57149795,0.0580237512267,0.357631194739,23.5,322.5,0.9295916599386183,131.69377358098598,"[3551, 3504, 3600, 3641, 3456]",131.69377358098598,"[3415, 3600, 3406, 3316, 3641, 3456]",157.83694117664598,"[3456, 3631, 3495, 3368, 3300, 3386]",179.02513789968154,"[3386, 3273, 3377, 3581, 3710, 3701]",218.20288724029288,"[3701, 3236, 3447, 3736, 3417, 3376]",0.358,0.38888735202969016,0.11171246607655821,-0.5722627816682442,0.5569541155046626
100,3482,2682.1740000000004,599.618,4.35274940761,0.365438071158,1692.00524577,48.018830431400005,2.56655761585,0.268699473479,33.0,101.5,-1.0066584501044216,243.12599614191816,"[3575, 3556, 3470, 3600, 3551]",138.67678248358663,"[3386, 3337, 3523, 3318, 3391, 3406]",187.56665481902687,"[3406, 3320, 3624, 3317, 3596, 3574]",216.9331694324314,"[3574, 3666, 3277, 3235, 3385, 3423]",243.12599614191814,"[3423, 3470, 3564, 3316, 3600, 3551]",0.455,-0.09708434989786593,-0.10743114065028271,-1.5486486094996035,1.470579346178329
100,3489,265.167955801,979.992265193,0.295331472943,3.70607078551,18.009588321600003,289.384099159,0.08896299193280001,1.1002230198899998,40.5,1227.5,1.3099722279263084,90.5883546599672,"[3552, 3496, 3592, 3492, 3540]",110.89747517414452,"[3492, 3540, 3610, 3387, 3358, 3443]",147.5008474551926,"[3443, 3541, 3529, 3667, 3683, 3593]",176.17321022221282,"[3593, 3284, 3312, 3633, 3446, 3370]",196.11348755248835,"[3370, 3330, 3603, 3510, 3743, 3266]",0.306,-0.5233969314311103,-0.2701750256938139,-0.9732962752776094,0.8990550467789687
100,3492,364.716353111,557.4269175109999,0.656310124076,1.5899667410799998,71.6870349307,32.9479495514,0.133596459958,0.333102874258,42.5,1318.0,0.4637130984536164,83.21808697632986,"[3496, 3443, 3541, 3552, 3593]",97.36657537368765,"[3593, 3446, 3387, 3592, 3489, 3421]",130.4846734294875,"[3421, 3510, 3603, 3370, 3554, 3517]",154.03976759265768,"[3517, 3330, 3460, 3597, 3561, 3685]",176.3193126120902,"[3685, 3610, 3683, 3358, 3609, 3540]",0.284,0.5935627871432049,0.01979071556941616,-0.060737941346230326,0.0625216722204579
100,3495,275.198394495,1061.48279817,0.272377654058,3.87987449922,22.385813151399997,224.316223338,0.0677390882265,0.8666089863359999,44.5,467.0,1.3558028075501976,120.88010589009261,"[3456, 3581, 3504, 3447, 3631]",134.25442264595978,"[3377, 3415, 3368, 3376, 3631, 3551]",163.1333810107545,"[3551, 3543, 3470, 3380, 3301, 3338]",180.15132527961043,"[3338, 3300, 3600, 3641, 3701, 3736]",201.9913364478784,"[3736, 3714, 3758, 3385, 3273, 3242]",0.399,-0.2438531216035805,-0.15024432650359976,-1.0072659804745547,0.9575405622824525
100,3496,306.055459272,558.0,0.550212402952,1.84693190384,35.5868412117,34.5430683378,0.0694025363682,0.236812429325,43.5,1281.0,0.6135258320155148,74.17715281675349,"[3492, 3552, 3489, 3443, 3592]",119.37859942217449,"[3421, 3592, 3541, 3387, 3593, 3446]",139.5609185982953,"[3446, 3610, 3370, 3358, 3603, 3510]",164.7642254859956,"[3510, 3540, 3683, 3330, 3554, 3667]",172.3724165868774,"[3667, 3517, 3597, 3284, 3685, 3460]",0.286,0.5378509771067163,0.0658401331295386,-0.23299966423282345,0.23754152279825205
100,3504,274.74074074099997,820.5305010889999,0.350423694073,3.00611937185,23.172891351100002,175.89229301700001,0.0796425154271,0.687699603566,50.5,398.0,1.1006500017365923,88.2779700718135,"[3551, 3456, 3495, 3470, 3631]",120.27676417330156,"[3470, 3631, 3581, 3600, 3380, 3368]",145.74721266631482,"[3368, 3641, 3377, 3385, 3447, 3701]",179.61069010501575,"[3701, 3300, 3710, 3376, 3736, 3273]",209.3083849252103,"[3273, 3316, 3406, 3301, 3758, 3543]",0.163,0.9942408919526485,0.38646745156718393,-0.7485119573637029,0.7522225770139936
100,3510,496.62373371900003,644.460202605,0.819567768492,1.56111332023,210.438148703,168.635288633,0.391577344368,0.845694841601,56.0,1420.0,0.44539923353648436,57.245087125446844,"[3517, 3554, 3561, 3460, 3446]",91.28526715741155,"[3446, 3597, 3541, 3603, 3609, 3593]",117.82402131993288,"[3593, 3535, 3492, 3443, 3494, 3370]",137.8985134075056,"[3370, 3413, 3351, 3571, 3698, 3685]",158.7765725792064,"[3685, 3496, 3331, 3308, 3387, 3330]",0.174,0.9759550968208637,0.020180196939001638,-0.04047105676211062,0.04007546283491099
100,3517,275.93186003700004,578.55801105,0.48125405342,2.11015885635,23.329747639,62.3337704358,0.0565380057785,0.281178358459,58.5,1447.5,0.7467632320236915,65.12488003827723,"[3510, 3554, 3561, 3460, 3597]",86.29745071553387,"[3597, 3535, 3609, 3446, 3494, 3603]",126.83552341516945,"[3603, 3541, 3413, 3571, 3593, 3351]",147.16827103693242,"[3351, 3443, 3492, 3370, 3698, 3685]",167.17431022737912,"[3685, 3331, 3371, 3604, 3308, 3496]",0.261,0.6772886490380627,0.1281838588855043,-0.36879118197615474,0.35328103605977873
100,3529,265.749680715,1350.79438059,0.234483177918,5.0960499115300015,15.8699993852,530.333354881,0.102040098481,2.01833069388,64.5,1098.5,1.6284657124781785,134.40238093129153,"[3540, 3633, 3610, 3489, 3667]",159.2607924129476,"[3667, 3727, 3358, 3681, 3646, 3552]",182.7163101641449,"[3552, 3421, 3312, 3739, 3592, 3627]",220.59975067982285,"[3627, 3496, 3683, 3807, 3387, 3492]",236.6273441510934,"[3492, 3243, 3253, 3829, 3284, 3654]",0.11,1.2481820357304136,0.8560963068357914,-1.207598846564761,1.352854522183119
100,3540,1323.32664234,570.135036496,2.30935918305,0.5338275811100001,515.5602358680001,26.489875744699997,0.872673188469,0.288802833099,79.0,1145.5,-0.6276823739759784,99.1526600752597,"[3529, 3610, 3633, 3489, 3667]",140.07319515167777,"[3667, 3552, 3421, 3592, 3727, 3496]",180.83417818543046,"[3496, 3683, 3358, 3492, 3312, 3681]",201.30822139197394,"[3681, 3739, 3387, 3646, 3807, 3443]",216.5023094565044,"[3443, 3743, 3541, 3799, 3593, 3829]",0.005,-2.4883207365844693,-1.4845211750187242,-1.131591335491094,1.1052633478588352
100,3541,263.756244617,975.8708010339999,0.27998897566500003,3.7181814201,21.130169907,182.132937933,0.0573710963411,0.732880426027,77.5,1351.5,1.31323468318681,76.4198926981712,"[3593, 3492, 3603, 3510, 3554]",90.86390922693123,"[3554, 3443, 3496, 3446, 3592, 3597]",117.50106382497137,"[3597, 3552, 3517, 3561, 3685, 3460]",142.70686738906437,"[3460, 3609, 3489, 3387, 3370, 3698]",162.56229575150567,"[3698, 3421, 3683, 3760, 3743, 3535]",0.373,0.3126891356048734,0.13574696719005097,-1.0991818223593832,0.9626914481519437
100,3543,271.666666667,1462.62448304,0.220656036393,5.40110019547,21.482111485300003,575.8513469569999,0.0952316443191,2.13381870408,81.5,605.0,1.6866026727199253,131.57697366940766,"[3447, 3690, 3651, 3714, 3618]",169.69531519756225,"[3618, 3581, 3495, 3376, 3456, 3338]",201.80002477700543,"[3338, 3673, 3377, 3784, 3758, 3822]",227.5,"[3822, 3504, 3368, 3631, 3301, 3252]",244.39772912201943,"[3252, 3584, 3736, 3415, 3872, 3792]",0.393,-0.2820345434693814,-0.17691174729467896,-1.4441469258789237,1.489178436662507
