index,X,Y,cell_type
0,759,213,1
1,771,269,1
2,767,306,1
3,663,314,1
4,648,354,1
5,601,359,1
6,564,388,1
7,582,441,1
8,667,523,1
9,583,501,1
10,817,393,1
11,711,370,1
12,874,320,1
13,920,350,1
14,962,322,1
15,983,187,1
16,952,74,1
17,692,77,1
18,625,159,1
19,614,230,1
20,643,234,1
21,535,260,1
22,565,206,1
23,544,179,1
24,528,661,1
25,433,702,1
26,369,738,1
27,324,717,1
28,364,567,1
29,430,535,1
30,850,560,1
31,746,546,1
32,667,491,1
33,877,644,1
34,770,642,1
35,684,587,1
36,697,630,1
37,921,600,1
38,1054,685,1
39,1185,719,1
40,1165,731,1
41,1053,887,1
42,988,895,1
43,891,880,1
44,1008,938,1
45,1080,936,1
46,1125,916,1
47,1102,994,1
48,1073,1021,1
49,1031,988,1
50,712,834,1
51,613,873,1
52,670,947,1
53,737,936,1
54,261,815,1
55,45,467,1
56,163,411,1
57,261,297,1
58,294,283,1
59,326,199,1
60,377,225,1
61,340,475,1
62,387,439,1
63,369,382,1
64,335,359,1
65,165,63,1
66,187,90,1
67,122,106,1
68,134,134,1
69,191,182,1
70,219,202,1
71,263,146,1
72,27,150,1
73,46,85,1
74,51,188,1
75,95,254,1
76,181,495,1
77,1093,504,1
78,1124,403,1
79,1143,379,1
80,1138,509,1
81,1117,1070,1
82,1094,1153,1
83,1142,1171,1
84,1046,1201,1
85,988,1200,1
86,967,1163,1
87,793,1032,1
88,725,1148,1
89,595,1133,1
90,590,1054,1
91,627,997,1
92,203,771,1
93,218,810,1
94,218,843,1
95,82,595,1
96,116,592,1
97,168,652,1
98,166,693,1
99,113,660,1
100,88,694,1
101,23,723,1
102,67,757,1
103,121,160,1
104,191,289,1
105,150,344,1
106,385,473,1
107,558,462,1
108,457,348,1
109,430,312,1
110,412,238,1
111,367,277,1
112,52,645,1
113,74,633,1
114,109,629,1
115,36,845,1
116,66,835,1
117,116,827,1
118,142,814,1
119,195,854,1
120,32,949,1
121,140,992,1
122,39,1021,1
123,44,1116,1
124,19,1313,1
125,404,1157,1
126,425,1133,1
127,441,1055,1
128,470,1031,1
129,494,1042,1
130,534,1132,1
131,475,1341,1
132,462,1215,1
133,61,1375,1
134,135,1278,1
135,143,1234,1
136,71,1494,1
137,153,1499,1
138,211,1501,1
139,286,1574,1
140,238,1604,1
141,336,1555,1
142,120,1683,1
143,7,1713,1
144,83,1721,1
145,91,1762,1
146,200,1767,1
147,291,1714,1
148,386,1596,1
149,523,1647,1
150,542,1854,1
151,559,1520,1
152,180,2049,1
153,178,2071,1
154,374,2123,1
155,411,2176,1
156,561,2105,1
157,514,2201,1
158,351,2278,1
159,481,2330,1
160,416,2410,1
161,438,2444,1
162,434,2418,1
163,596,2429,1
164,479,2548,1
165,547,2514,1
166,570,2680,1
167,131,2448,1
168,1,2267,1
169,68,2522,1
170,93,2510,1
171,155,2519,1
172,92,2543,1
173,88,2586,1
174,127,2681,1
175,65,2747,1
176,93,2812,1
177,36,2855,1
178,119,2762,1
179,174,2790,1
180,247,2809,1
181,147,2887,1
182,177,2900,1
183,204,2928,1
184,268,2930,1
185,282,2861,1
186,429,2784,1
187,573,2997,1
188,624,3021,1
189,536,3063,1
190,374,3001,1
191,197,3006,1
192,134,3029,1
193,39,3098,1
194,75,3133,1
195,94,3083,1
196,140,3118,1
197,174,3086,1
198,253,3093,1
199,259,3115,1
200,600,3262,1
201,620,3322,1
202,596,3404,1
203,429,3305,1
204,355,3285,1
205,327,3358,1
206,362,3395,1
207,422,3411,1
208,341,3489,1
209,192,3550,1
210,33,3542,1
211,45,3401,1
212,599,3459,1
213,612,3498,1
214,80,3686,1
215,528,3707,1
216,623,3586,1
217,1128,272,1
218,650,1296,1
219,676,1258,1
220,711,1230,1
221,877,1327,1
222,902,1230,1
223,978,1317,1
224,1152,1258,1
225,1117,1351,1
226,1058,1407,1
227,1083,1459,1
228,926,1387,1
229,961,1378,1
230,907,1518,1
231,854,1578,1
232,682,1641,1
233,670,1730,1
234,710,1855,1
235,919,1935,1
236,1036,1670,1
237,993,1544,1
238,1058,1574,1
239,1141,1518,1
240,1101,1573,1
241,1150,1766,1
242,1146,1797,1
243,1039,1776,1
244,1106,1890,1
245,1048,1875,1
246,1109,1928,1
247,797,2029,1
248,816,1987,1
249,887,1959,1
250,858,1931,1
251,1119,1973,1
252,820,2112,1
253,772,2326,1
254,822,2244,1
255,685,2374,1
256,614,2343,1
257,624,2519,1
258,660,2492,1
259,705,2525,1
260,705,2661,1
261,624,2699,1
262,689,2825,1
263,785,2756,1
264,843,2653,1
265,884,2694,1
266,1042,2592,1
267,897,2804,1
268,1140,2736,1
269,981,2843,1
270,895,2849,1
271,1038,2859,1
272,670,2971,1
273,651,3026,1
274,633,3099,1
275,840,3272,1
276,761,3307,1
277,1145,3092,1
278,959,3361,1
279,739,3463,1
280,658,3371,1
281,666,3309,1
282,748,3493,1
283,948,3551,1
284,988,3622,1
285,1041,3608,1
286,1112,3617,1
287,1326,115,1
288,1350,93,1
289,1356,168,1
290,1335,216,1
291,1251,312,1
292,1340,271,1
293,1414,241,1
294,1449,183,1
295,1399,126,1
296,1580,136,1
297,1618,422,1
298,1589,456,1
299,1623,449,1
300,1676,398,1
301,1682,489,1
302,1548,542,1
303,1437,428,1
304,1455,316,1
305,1439,314,1
306,1395,319,1
307,1303,389,1
308,1279,414,1
309,1213,435,1
310,1401,463,1
311,1421,452,1
312,1437,509,1
313,1471,583,1
314,1331,461,1
315,1388,815,1
316,1411,823,1
317,1537,843,1
318,1479,897,1
319,1521,902,1
320,1567,875,1
321,1609,822,1
322,1679,815,1
323,1680,769,1
324,1696,681,1
325,1673,654,1
326,1636,933,1
327,1646,1077,1
328,1709,1062,1
329,1444,1024,1
330,1713,842,1
331,1505,1014,1
332,1304,1287,1
333,1236,1400,1
334,1205,1477,1
335,1295,1536,1
336,1417,1498,1
337,1609,1420,1
338,1641,1432,1
339,1613,1465,1
340,1657,1468,1
341,1693,1576,1
342,1358,1619,1
343,1383,1613,1
344,1346,1742,1
345,1309,1754,1
346,1295,1765,1
347,1215,1721,1
348,1279,1602,1
349,1403,1895,1
350,1291,1936,1
351,1245,1970,1
352,1207,2010,1
353,1290,2082,1
354,1322,2021,1
355,1441,2071,1
356,1496,2065,1
357,1460,2164,1
358,1417,2368,1
359,1178,2463,1
360,1197,2511,1
361,1614,2321,1
362,1585,2432,1
363,1493,2508,1
364,1488,2467,1
365,1408,2549,1
366,1533,2574,1
367,1512,2616,1
368,1392,2688,1
369,1406,2623,1
370,1359,2615,1
371,1321,2619,1
372,1308,2603,1
373,1297,2683,1
374,1176,2776,1
375,1191,2850,1
376,1213,2925,1
377,1277,2901,1
378,1302,2887,1
379,1303,2914,1
380,1389,2955,1
381,1440,2931,1
382,1528,2873,1
383,1514,2819,1
384,1562,2797,1
385,1593,2892,1
386,1667,2841,1
387,1675,2867,1
388,1695,2796,1
389,1667,2784,1
390,1198,2987,1
391,1256,2950,1
392,1252,3040,1
393,1322,3218,1
394,1393,3176,1
395,1357,3061,1
396,1456,3038,1
397,1562,3095,1
398,1482,3141,1
399,1564,3175,1
400,1647,3067,1
401,1614,2970,1
402,1612,3283,1
403,1533,3358,1
404,1555,3371,1
405,1542,3301,1
406,1449,3428,1
407,1310,3351,1
408,1274,3409,1
409,1537,3496,1
410,1556,3544,1
411,1505,3537,1
412,1401,3596,1
413,1177,3605,1
414,1616,3326,1
415,1615,3086,1
416,1486,3647,1
417,1556,3674,1
418,1702,40,1
419,2104,87,1
420,2162,7,1
421,2169,123,1
422,2112,149,1
423,2235,173,1
424,2201,264,1
425,2240,263,1
426,2212,310,1
427,2187,321,1
428,2181,356,1
429,2216,350,1
430,2134,349,1
431,2075,364,1
432,2009,303,1
433,2165,290,1
434,2047,247,1
435,1937,193,1
436,1950,512,1
437,1926,472,1
438,1973,455,1
439,2021,450,1
440,2024,492,1
441,2045,534,1
442,2085,553,1
443,2102,597,1
444,2097,713,1
445,2044,759,1
446,2164,656,1
447,2245,718,1
448,1751,684,1
449,1844,838,1
450,1775,860,1
451,1763,823,1
452,1814,916,1
453,1854,876,1
454,1753,926,1
455,1956,966,1
456,1895,1014,1
457,1922,1233,1
458,1737,1264,1
459,1702,1251,1
460,2268,1432,1
461,2171,1632,1
462,2138,1695,1
463,2083,1657,1
464,2217,1729,1
465,1851,1665,1
466,1849,1585,1
467,1753,1633,1
468,2023,1927,1
469,2003,1944,1
470,2102,1821,1
471,2171,1992,1
472,2167,2085,1
473,1998,2038,1
474,1893,2206,1
475,1862,2224,1
476,1905,2244,1
477,1965,2290,1
478,1816,2354,1
479,2014,2391,1
480,2193,2172,1
481,2247,2204,1
482,2271,2370,1
483,2175,2436,1
484,1891,2493,1
485,1994,2517,1
486,2152,2494,1
487,2189,2587,1
488,2222,2593,1
489,2216,2653,1
490,2226,2670,1
491,2066,2656,1
492,2039,2704,1
493,1890,2656,1
494,1849,2617,1
495,1909,2786,1
496,2180,2798,1
497,1690,2944,1
498,1886,3096,1
499,1930,3007,1
500,1901,2933,1
501,1971,2939,1
502,2006,3035,1
503,2021,3092,1
504,1968,3098,1
